Position,Number,Name,Pos_in_swim,Swim_time,T1,Pos_in_bike,Bike_time,T2,Pos_in_run,Run_time,Race_control,Time,Rank,Category
692.,1547,LACOUR Céliane,1181,36:23,3:35,506,1:48:01,2:45,818,39:50,Finish,3:10:36,30/93,F25-29
693.,810,FLOQUET Pauline,89,23:17,2:03,895,2:01:47,1:33,959,42:00,Finish,3:10:43,31/93,F25-29
695.,132,DAVOURIE Aurelie,664,30:35,3:52,778,1:57:21,1:30,644,37:33,Finish,3:10:53,14/40,F40-44
703.,793,DELBECQ Clara,757,31:29,3:06,786,1:57:48,1:43,606,37:06,Finish,3:11:15,8/43,F50-54
707.,381,EON Pauline,676,30:41,4:40,757,1:56:35,1:34,679,37:57,Finish,3:11:29,32/93,F25-29
708.,1537,VIDAL Vanessa,207,25:41,2:23,900,2:01:53,1:28,834,40:10,Finish,3:11:37,8/52,F45-49
710.,93,BONNARD Jaadhes,197,25:34,2:59,882,2:01:17,1:43,838,40:13,Finish,3:11:48,33/93,F25-29
711.,180,COOLS Roxanne,498,29:06,3:18,793,1:58:05,2:26,739,38:52,Finish,3:11:49,13/26,F20-24
716.,1317,THONNELIER SARRAT Laure,1233,37:39,3:39,595,1:50:49,1:46,689,38:07,Finish,3:12:01,15/40,F40-44
718.,369,BUFFEL Caroline,440,28:40,3:52,761,1:56:50,2:08,859,40:35,Finish,3:12:07,27/81,F30-34
723.,853,KLEIN Nicole,132,24:34,3:31,873,2:00:59,2:28,883,40:50,Finish,3:12:25,9/52,F45-49
724.,333,MOINE Virginie,1422,47:25,5:32,387,1:43:05,2:47,341,33:36,Finish,3:12:27,10/52,F45-49
726.,787,SIAUVE Karine,417,28:28,3:08,854,2:00:21,2:00,720,38:35,Finish,3:12:35,11/52,F45-49
741.,219,VANDENBUSSCHE Goedele,976,34:03,3:40,867,2:00:46,1:29,340,33:36,Finish,3:13:36,18/51,F35-39
742.,348,ROUBY Noémie,221,25:58,3:09,928,2:02:47,1:31,837,40:13,Finish,3:13:40,5/8,F18-19
744.,837,KECK Catherine,557,29:43,3:33,791,1:58:00,1:58,853,40:26,Finish,3:13:42,9/43,F50-54
748.,1387,CHAVANEL Sophie,566,29:47,5:17,910,2:02:11,2:12,426,34:37,Finish,3:14:07,16/40,F40-44
749.,1009,HOFER Caroline,320,27:24,2:20,894,2:01:45,2:04,858,40:34,Finish,3:14:09,19/51,F35-39
752.,661,TABERHAM Julia,526,29:21,3:47,687,1:53:56,3:06,1075,44:03,Finish,3:14:15,1/13,F60-64
754.,1429,MARCHAL Lucie,1283,39:11,7:17,622,1:51:32,3:16,308,33:03,Finish,3:14:21,34/93,F25-29
755.,786,BONAIME Adeline,424,28:35,3:05,932,2:02:57,1:40,688,38:06,Finish,3:14:24,12/52,F45-49
759.,1299,THIBAUD Elise,612,30:07,3:07,887,2:01:23,1:27,719,38:35,Finish,3:14:41,28/81,F30-34
760.,1573,THELLIER Clémence,1184,36:24,3:55,742,1:55:47,1:37,593,36:59,Finish,3:14:44,14/26,F20-24
775.,349,HILGER Lise,666,30:36,3:28,823,1:59:09,4:44,628,37:25,Finish,3:15:24,20/51,F35-39
777.,482,CARIVENC Lise,651,30:30,3:13,816,1:58:56,2:11,865,40:39,Finish,3:15:30,35/93,F25-29
780.,448,ROUSSEAU Coline,459,28:47,3:01,806,1:58:35,1:36,1058,43:37,Finish,3:15:39,36/93,F25-29
782.,196,TRIQUET Sarah,1056,34:48,3:36,762,1:56:53,1:46,740,38:52,Finish,3:15:57,37/93,F25-29
783.,1492,DESPUJOLS Helena,1059,34:49,8:12,572,1:49:59,3:17,807,39:38,Finish,3:15:58,29/81,F30-34
785.,455,SAENZ Sandra,335,27:35,4:03,849,2:00:15,2:07,965,42:05,Finish,3:16:07,10/43,F50-54
786.,72,ARIS Sophie,231,26:05,2:40,890,2:01:38,1:17,1100,44:29,Finish,3:16:10,17/40,F40-44
788.,47,DIEUZAIDE Clara,209,25:42,2:55,984,2:05:44,1:28,846,40:21,Finish,3:16:12,15/26,F20-24
790.,1611,CHALAND Fanny,745,31:26,4:37,905,2:02:01,1:48,551,36:25,Finish,3:16:18,30/81,F30-34
791.,783,DUMARTIN Camille,1252,38:20,3:29,695,1:54:06,1:31,749,38:57,Finish,3:16:24,38/93,F25-29
794.,557,KANG Kang,1180,36:22,3:50,767,1:56:59,1:28,662,37:49,Finish,3:16:30,31/81,F30-34
796.,1174,ROCHA Angélique,1144,35:49,4:15,790,1:58:00,1:56,561,36:31,Finish,3:16:34,13/52,F45-49
798.,926,TARDY Camille,91,23:29,3:40,968,2:05:03,3:20,899,41:06,Finish,3:16:41,32/81,F30-34
703.,793,DELBECQ Clara,757,31:29,3:06,786,1:57:48,1:43,606,37:06,Finish,3:11:15,8/43,F50-54
707.,381,EON Pauline,676,30:41,4:40,757,1:56:35,1:34,679,37:57,Finish,3:11:29,32/93,F25-29
708.,1537,VIDAL Vanessa,207,25:41,2:23,900,2:01:53,1:28,834,40:10,Finish,3:11:37,8/52,F45-49
710.,93,BONNARD Jaadhes,197,25:34,2:59,882,2:01:17,1:43,838,40:13,Finish,3:11:48,33/93,F25-29
711.,180,COOLS Roxanne,498,29:06,3:18,793,1:58:05,2:26,739,38:52,Finish,3:11:49,13/26,F20-24
716.,1317,THONNELIER SARRAT Laure,1233,37:39,3:39,595,1:50:49,1:46,689,38:07,Finish,3:12:01,15/40,F40-44
718.,369,BUFFEL Caroline,440,28:40,3:52,761,1:56:50,2:08,859,40:35,Finish,3:12:07,27/81,F30-34
723.,853,KLEIN Nicole,132,24:34,3:31,873,2:00:59,2:28,883,40:50,Finish,3:12:25,9/52,F45-49
724.,333,MOINE Virginie,1422,47:25,5:32,387,1:43:05,2:47,341,33:36,Finish,3:12:27,10/52,F45-49
726.,787,SIAUVE Karine,417,28:28,3:08,854,2:00:21,2:00,720,38:35,Finish,3:12:35,11/52,F45-49
741.,219,VANDENBUSSCHE Goedele,976,34:03,3:40,867,2:00:46,1:29,340,33:36,Finish,3:13:36,18/51,F35-39
742.,348,ROUBY Noémie,221,25:58,3:09,928,2:02:47,1:31,837,40:13,Finish,3:13:40,5/8,F18-19
744.,837,KECK Catherine,557,29:43,3:33,791,1:58:00,1:58,853,40:26,Finish,3:13:42,9/43,F50-54
748.,1387,CHAVANEL Sophie,566,29:47,5:17,910,2:02:11,2:12,426,34:37,Finish,3:14:07,16/40,F40-44
749.,1009,HOFER Caroline,320,27:24,2:20,894,2:01:45,2:04,858,40:34,Finish,3:14:09,19/51,F35-39
752.,661,TABERHAM Julia,526,29:21,3:47,687,1:53:56,3:06,1075,44:03,Finish,3:14:15,1/13,F60-64
754.,1429,MARCHAL Lucie,1283,39:11,7:17,622,1:51:32,3:16,308,33:03,Finish,3:14:21,34/93,F25-29
755.,786,BONAIME Adeline,424,28:35,3:05,932,2:02:57,1:40,688,38:06,Finish,3:14:24,12/52,F45-49
759.,1299,THIBAUD Elise,612,30:07,3:07,887,2:01:23,1:27,719,38:35,Finish,3:14:41,28/81,F30-34
760.,1573,THELLIER Clémence,1184,36:24,3:55,742,1:55:47,1:37,593,36:59,Finish,3:14:44,14/26,F20-24
775.,349,HILGER Lise,666,30:36,3:28,823,1:59:09,4:44,628,37:25,Finish,3:15:24,20/51,F35-39
